"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Gelatin silver print","16 15/16 x 22 11/16"" (43 x 57.6 cm)","Photograph","Thomas Struth","http://www.moma.org/collection/works/49427","GERMAN","Le Lignon (Horizontal), Geneva","Horace W. Goldsmith Fund through Robert B. Menschel","6/10/1999","Photography","Y","242.1999","1989","(German, born 1954)","Y","49427","In the late 1970s, Struth abandoned painting to study photography with Bernd and Hilla Becher, and his earliest photographic work—black-and-white views that invariably look straight down the middle of a city street—are consistent with the Bechers' highly systematic approach. After a few years, however, he realized that nothing but his own rules kept him from moving the camera and pointing it in any direction that seemed promising. Struth thus gave up the rigorous structure associated with Minimal and Conceptual art to explore the potentially infinite fluidity of photographic description.While Struth was vigorously developing other aspects of his work, he continued for many years to make modestly scaled, black-and-white views, adding to a body of work that eventually became global in scope. Despite the remarkable variety of architecture that appears in these pictures, they maintain a highly consistent style, equally attentive to the monumental and the minute. Here the artist's high vantage point and oblique angle of view concisely render the grand sweep of the modernist housing project and its man-made landscape while simultaneously enumerating its strangely uninhabited individual parts.","Photography (0.950655), Camera (0.689234), Bernd and Hilla Becher (0.60306), Siegen (0.548108), Angle (0.522623), Modernism (0.51781)"
"Screenprint","composition: 69 7/16 x 95 13/16"" (176.4 x 243.3 cm); sheet: 71 5/8 x 8' 1 1/8"" (182 x 246.7 cm)","Print","Fiona Banner","http://www.moma.org/collection/works/63037","BRITISH","Break Point","Linda Barth Goldstein Fund","5/20/1999","Prints & Illustrated Books","Y","153.1999","1998","(British, born 1966)","Y","63037","""The other guy yells 'Freeeze. . .' again and the car squeals off. He's there holding the gun dead straight in front of his face, peow, peow, peow, peow."" So reads a minute portion of Banner's jam-packed, monumental print, which recounts—in the artist's own words—an extended car–chase scene in the cult action film Point Break (1991). Directed by Kathryn Bigelow, the film details the adrenaline-charged lifestyle of a gang of surfing bank robbers. (""Point break"" is a surfing term for the moment a wave breaks on a rocky point.)Banner came into prominence through her ""wordscapes"" or ""still films""—works such as this one that explore how stories are perceived and reimagined, particularly in pornography, action films, epic films, and films about war. Break Point (its title reverses the title of the film) is the largest in a series of prints that considers the genre of the car chase. Here the artist transforms her detailed description of a seemingly endless, yet climactic, chase—including dialogue, action, scenery, and sound effects—into a block of text the size of a billboard or, more aptly, a cinema screen. As pursuer closes in on pursued, the words literally crash into one another, creating an abstract visual corollary to the rousing action of the film.","Action film (0.92115), Kathryn Bigelow (0.876195), Film genres (0.832579), Movie theater (0.828214), Film (0.792453), Action films (0.76774), Hong Kong action cinema (0.744254), Art (0.743824)"
"Lithograph on cut and raised paper","composition and sheet (irreg.): 34 3/8 x 39 3/4"" (87.3 x 101 cm)","Print","Elizabeth Murray","http://www.moma.org/collection/works/63774","AMERICAN","Cracking Cup","Gift of Emily Fisher Landau","5/20/1999","Prints & Illustrated Books","Y","178.1999","1998","(American, 1940–2007)","Y","63774","The paintings of Elizabeth Murray embrace both abstraction and Neo-Expressionism, and her cartoonish forms often depict objects from her everyday life, both professional (paintbrush and easel) and domestic (cups and chairs). Murray dabbled in printmaking at every step in her early career, from drawing on lithographic stones as a student, to a graduate assistantship, to her first teaching job, which involved establishing a printmaking studio. Although she enjoyed the creative aspects of printmaking, she was frustrated and discouraged by the technical expertise required. She feared that the delicacy of the printing process did not fit with her own creative style: large, boisterous, colorful paintings that seemed ready to jump off the walls, executed on shaped, sometimes three-dimensional, canvases. Thus it took several years and much cajoling to convince her to resume printmaking. In 1979 Murray finally accepted an offer from art dealers Brooke Alexander and Paula Cooper to make prints, and she has now made more than one hundred forty editions in a variety of mediums. Initially inspired by seeing an installation of the various states of Picasso's lithographic series The Bull, Murray began an exploration of her own working process in her first prints. She issued a series of five states of a single lithograph intended to be viewed together as one work. Later, collaborating with master printers at Universal Limited Art Editions and Gemini G.E.L., who rose to the technical challenges she presented to them, Murray expanded her printmaking practice to include complex experiments incorporating the shaped forms and three-dimensionality of her paintings. Cracking Cup is one of several such prints that defy the traditional boundaries of printmaking with cut and folded elements that assert themselves into the space of the viewer.","Printing (0.955972), Printmaking (0.816777), Lithography (0.588146), Painting (0.570126), Intaglio (0.472658), Alois Senefelder (0.416382), Drawing (0.380732), Pablo Picasso (0.378661)"
"Etching with gouache, colored pencil, and crayon additions","plate: 6 15/16 x 9 5/16"" (17.7 x 23.7 cm); sheet: 13 1/16 x 17 5/8"" (33.2 x 44.8 cm)","Print","James Ensor","http://www.moma.org/collection/works/63305","BELGIAN","The Assassination","Riva Castleman Endowment Fund","5/20/1999","Prints & Illustrated Books","Y","160.1999","1888","(Belgian, 1860–1949)","Y","63305","An eccentric visionary, James Ensor created images that defy categorization. After two frustrating years at the Royal Academy of Fine Arts in Brussels, he returned to his hometown of Ostend and set up a studio in the attic of his family's home and souvenir shop. There he continued his education, studying Old Masters such as Breugel and Bosch, copying etchings by Rembrandt and Goya, and making sketches depicting his family's disquieting domestic life. Although Ensor was a member of the Belgian avant-garde group Les Vingt (The Twenty) between 1883 and 1893, he had a pained and tumultuous relationship with his fellow artists and critics. In addition to painting, Ensor made some one hundred forty prints over the course of his career, most of which were etchings completed in an intense burst of activity at the turn of the century. His obsession with death, and his desire to defy it through his art, contributed to his embrace of etching. He wrote, ""I want to survive and I think of solid copperplates, of unalterable inks . . . of faithful printing, and I am adopting etching as a means of expression.""Current political events, literary themes, the life of Christ, and the popular spectacle of the annual carnivals in Belgium were among Ensor's favorite subjects. Deeply concerned with political and social injustice, he ridiculed the Church, the military, and the bourgeoisie. The Entrance of Christ into Brussels updates the story of Christ, giving it contemporary relevance by depicting the masses holding banners, political signs, and advertisements. The Assassination is based on Edgar Allan Poe's gothic tale The Facts in the Case of M. Valdemar of 1845, which tells the gruesome story of a hypnotist trying to arrest the process of death by hypnotizing a dying man.","Edgar Allan Poe (0.979484), Belgium (0.642801), James Ensor (0.608675), Ostend (0.484478), Gothic fiction (0.478493), Death (0.452405), Les XX (0.413647), Rembrandt (0.413026)"
"Oil and newspaper on canvas, two panels","6' 2"" x 28 1/2"" (188 x 72.4 cm)","Painting","Robert Rauschenberg","http://www.moma.org/collection/works/78902","AMERICAN","Untitled (Asheville Citizen)","Purchase","5/11/1999","Painting & Sculpture","Y","123.1999","c. 1952","(American, 1925–2008)","Y","78902","Rauschenberg made this work from two identical canvases, matte black paint, and a sheet from the August 3, 1951, issue of the Asheville Citizen newspaper. Asheville, North Carolina, is near Black Mountain College, where Rauschenberg was a student in an experimental arts program in the late 1940s and early 1950s. He considered this and his other black paintings to be “visual experiences . . . not Art” and refuted the symbolic associations of his color choice. Despite its sideways orientation, the sheet's contents remain legible beneath layers of paint. Sports columns, a crossword puzzle, and a wide range of advertisements, for groceries, jobs, and “baby chicks for 50 cents each,” give this painting historical as well as anecdotal context.","Black Mountain College (0.975125), Asheville, North Carolina (0.925761), Painting (0.870479), Buncombe County, North Carolina (0.832749), Modernism (0.797081), North Carolina (0.775474), History of painting (0.726536), Black Mountain, North Carolina (0.683401)"
"35mm film (color, sound)","110 min.","Film","Jia Zhangke","http://www.moma.org/collection/works/107584","CHINESE","Xiao Wu","Acquired from Kit-Ming Li with funding from The Junior Associates of The Museum of Modern Art","4/1/1999","Film","Y","31184","1997","(Chinese, born 1970)","Y","107584","In this film a streetwise youth and petty criminal named Xiao Wu navigates the shattered neighborhoods of the remote provincial town Fenyang without a moral compass. Alienated from his increasingly entrepreneurial criminal colleagues, at odds with the police and his family, and shaken by the fleeting tenderness of a karaoke-bar hostess, his defenses are stripped away until he is forced to face the emptiness of his existence.Authentically performed by an amateur cast, this debut feature by independent filmmaker Jia begins as gritty social realism but gradually develops into a piercing character study and cultural critique set in the incisively documented landscape of contemporary China. The film dramatizes the festering influence of the black-market corruption that, it suggests, has spread through the whole of Chinese society. Ultimately, Jia goes beyond realism to achieve an existential and spiritual quality that may be compared to that of the work of French director Robert Bresson.","China (0.916293), Jia Zhangke (0.847418), Film director (0.785093), Steven Soderbergh (0.768241), Morality (0.755723), Film (0.726764), Sociology (0.726247), Crime (0.716475)"
"Silver dye bleach print (Cibachrome) and Plexiglas wall label with gilded lettering","Photograph: 27 9/16 x 39 3/8"" (70 x 100 cm)
Label: 4 5/16 x 6 5/16"" (10.2 x 15.1 cm)","Photograph","Louise Lawler","http://www.moma.org/collection/works/46258","AMERICAN","Does Andy Warhol Make You Cry?","Gift of Gabriella de Ferrari in honor of Karen Davidson","3/11/1999","Photography","Y","98.1999.a-b","1988","(American, born 1947)","Y","46258","Since the early 1980s, Lawler has photographed in galleries, private collections, storage facilities, auction houses, and museums, persistently reminding her audience that a work of art is an object, that it is bought and sold and owned, and that who owns it and how it is displayed are part of its meaning.A New York auction of art from the collection of Burton and Emily Tremaine in November 1988 included Andy Warhol's 1962 painting Round Marilyn. Lawler photographed this iconic image (itself derived from a photograph of the screen goddess) at a preview of the sale, and in her finished work the painting, seventeen inches in diameter, appears at full scale, with the auction–house label (including the estimated sale price) clearly legible. Lawler's piece includes a label of its own that directly addresses the viewer, asking, ""Does Andy Warhol make you cry?"" It's difficult to imagine being moved to tears by a reproduction of a work of art, or even the work of art itself, while being forced to consider it as a commodity. Warhol's own hyper-awareness of that consideration no doubt helps to explain the prominence Lawler's art has granted to his.","Andy Warhol (0.949819), Modernism (0.892395), Image (0.836495), Museum of Modern Art (0.733171), Visual arts (0.71966), Force (0.691699), Photograph (0.671193)"
"Linoleum cut, rinsed","composition: 21 3/16 x 25 9/16"" (53.8 x 64.9 cm); sheet: 24 x 29 1/4"" (61 x 74.3 cm)","Print","Pablo Picasso","http://www.moma.org/collection/works/61105","SPANISH","Nocturnal Dance with an Owl (Danse nocturne avec un hibou)","Gift of the Associates of the Department of Prints and Illustrated Books","3/4/1999","Prints & Illustrated Books","Y","59.1999","November 18, 1959, rinsed 1963-64","(Spanish, 1881–1973)","Y","61105","Picasso began this series with the brown and black version. Several years later he revisited the linoleum block for further experimentation. He devised a novel technique in which he printed an example in white ink, brushed black ink over it, and finally rinsed the sheet under a bathroom shower.","White people (0.908062), Primary color (0.824021), Color terminology for race (0.765508)"
"Linoleum cut","composition: 36 5/8 x 42"" (93 x 106.7 cm) (irreg.); sheet: 46 1/4 x 60 1/2"" (117.5 x 153.7 cm)","Print","Kara Walker","http://www.moma.org/collection/works/61470","AMERICAN","African/American","Ralph E. Shikes Fund","3/4/1999","Prints & Illustrated Books","Y","77.1999","1998","(American, born 1969)","Y","61470","In the 1990s, American artist Kara Walker revived the art of the cut-paper silhouette, popular in nineteenth-century portraiture. Walker transformed this medium to suit her more transgressive aims, using the spare elegance of the black forms to depict scatological and sexually explicit tableaux set in the Civil War South. Walker uses humor and horror to address cultural issues of race, gender, and power. Her characters are drawn from stereotypes and engage in taboo acts of sex, violence, and debasement. African/American, a linoleum-cut print, conflates lyrical lines and disturbing content to elicit a range of emotions and reactions. Walker described the seminude figure as ""your essentialist-token slave maiden in midair.""","American Civil War (0.985725), Kara Walker (0.848771), African American (0.60412), War (0.555945), Black people (0.529471), Southern United States (0.507493), Civil war (0.453147), Race (0.416022)"
"Portfolio of nine woodcuts","(each) composition  17 15/16 x 24"" (45.6 x 60.9 cm)
sheet  20 1/2 x 26 3/16"" (52 x 66.5 cm)","Print","Terry Winters","http://www.moma.org/collection/works/61485","AMERICAN","Graphic Primitives","John B. Turner Fund","3/4/1999","Prints & Illustrated Books","Y","78.1999.1-9","1998","(American, born 1949)","Y","61485","A native New Yorker, Terry Winters ranks among the most dedicated contemporary printmakers. Although his work is rooted in abstraction, it is informed by an interest in the structure of biological, architectural, and technological forms. His early work, influenced by natural-history illustrations and medical diagrams, included masses of fertilized and dividing cells and neural connections, while more recent images center around loosely structured grids inspired by microchips, circuitry, and transit maps. Winters believes that painting, drawing, and printmaking play equally important and integral roles in his creative practice, and he often explores themes and ideas across all mediums in his work. Shortly before his first solo exhibition in 1982, he was invited to Universal Limited Art Editions to make his first prints. This initial experiment with lithography developed into a long and fruitful relationship with the workshop and its printers, who have collaborated with Winters on many of his one hundred fifty prints to date. The vast majority of these prints appear in portfolios, a format which is well suited to his interest in systems and structures. His early Folio of 1985, which demonstrates an interest in biological and cellular forms, is constituted to exploit this sequential potential, and his prints up to the present day do so as well. As Winters has grown more involved with printmaking, he has expanded his practice to include intaglio, screenprint, linoleum cut, and woodcut. Additionally, he has experimented with new ways of using traditional print mediums. In Graphic Primitives, which demonstrates his interest in technology and cyberspace, Winters digitally manipulated drawings he had scanned into a computer before having them laser-cut into woodblocks. The blocks were then printed using a process pioneered by Pablo Picasso in which the blocks are printed in white ink before the sheet is rinsed in black ink.","Printmaking (0.985341), Pablo Picasso (0.691418), Printing (0.508013), Drawing (0.353547), Intaglio (0.337062), Lithography (0.323065), Woodcut (0.292542), Linocut (0.286644)"
"Multiple of rubber silicon","composition: 1 1/8 x 30 3/4 x 21 7/8"" (3 x 78.3 x 58.1 cm)","Print","Mona Hatoum","http://www.moma.org/collection/works/60839","BRITISH","Rubber Mat","Purchased with proceeds from the 1998 ""Clue"" event, sponsored by the Junior Associates of The Museum of Modern Art, New York","3/4/1999","Prints & Illustrated Books","Y","45.1999","1996","(British of Palestinian origin, born in Beirut, Lebanon 1952)","Y","60839","In Hatoum's work, carpets refer at once to Minimalist floor sculptures, Muslim prayer rugs, and commonplace domestic furnishings. Rubber Mat combines these associations with another of the artist's foremost preoccupations: the human body. With its pattern of intestines, this work turns the body inside out, bringing its deepest recesses to the surface. While the work's supple surface is appealing, Hatoum notes that Rubber Mat also ""looks like entrails splayed out all over the floor, as if it's the aftermath of a massacre. There's a kind of attraction/repulsion operating here.""","Carpet (0.989773), Human body (0.81081), The Work (0.5607), Mat (0.5355), Human anatomy (0.529637)"
"Etching","Composition: 46 11/16 x 34 11/16"" (118.6 x 88.1 cm)","Print","Rosemarie Trockel","http://www.moma.org/collection/works/61344","GERMAN","Untitled","Jacqueline Brody Fund","3/4/1999","Prints & Illustrated Books","Y","75.1999.1","1996","(German, born 1952)","Y","61344","Trockel has engaged with evolution, ethnography, semiotics, and consumer culture in her practice, among other topics, but she is perhaps best known for her investigation of gender roles, domesticity, and women's work. She gained international renown in the mid-1980s for machine-knitted wall works that straddle and complicate the traditional divisions between art and craft, handwork and industrial production. To make this series of prints Trockel pressed yarn directly onto prepared etching plates, creating abstract patterns that resemble things from everyday life: knitting or handwriting, a tiled floor or kitchen towels, and floating balloons or nooses.","Gender role (0.932733), Anthropology (0.777567), Knitting (0.750443), Woman (0.690173), Role (0.687604), Gender (0.652377), Transgender (0.617913), Abstract type (0.570845)"
"Letterpress","composition: 26 9/16 x 20 5/16"" (67.4 x 51.6 cm); sheet: 28 1/4 x 22 1/16"" (71.8 x 56 cm)","Print","Claes Oldenburg","http://www.moma.org/collection/works/61054","AMERICAN","The Store","Mary Ellen Meehan Fund","3/4/1999","Prints & Illustrated Books","Y","56.1999","1961","(American, born Sweden 1929)","Y","61054","In the winter of 1961, Oldenburg circumvented the practice of selling art through a gallery by opening a storefront on the Lower East Side of Manhattan  and selling his work there. Among the unorthodox, eclectic offerings were sculptures of undergarments and slices of blueberry pie and other pastries made out of painted plaster. To advertise this bold endeavor, Oldenburg created business cards and stationery as well as posters such as the one on view here. Modeled after a poster the artist saw in a Puerto Rican neighborhood of New York, it retains a few Spanish words. A milestone of Pop art, The Store heralded Oldenburg's interest in the slippery line between art and commodity and the role of the artist in self-promotion.","Lower East Side (0.954575), Manhattan (0.826284), New York City (0.792516), United States (0.716191), Advertising (0.601719), East Village, Manhattan (0.592908), Roy Lichtenstein (0.569458), Puerto Rico (0.555276)"
"Lithograph","composition: 22 5/8 x 15 5/8"" (57.4 x 39.7 cm); sheet: 22 5/8 x 17 9/16"" (57.4 x 44.6 cm)","Print","Henri de Toulouse-Lautrec","http://www.moma.org/collection/works/61330","FRENCH","Confetti","Acquired in honor of Joanne M. Stern by the Committee on Prints and Illustrated Books in appreciation for her contribution as Committee Chair","3/4/1999","Prints & Illustrated Books","Y","74.1999","1894","(French, 1864–1901)","Y","61330","Henri de Toulouse-Lautrec, whose large, colorful posters were a familiar sight in Paris in the 1890s and remain popular to this day, has become a symbol of the Belle Epoque. A man of aristocratic background, he was a constant presence in the popular cafés, concert halls, and brothels of Montmartre as he sought escape from the despair brought on by physical handicaps. He also circulated freely among artists and intellectuals of the day. His poster for La Revue blanche, an adventurous literary magazine, depicts Misia Natanson, the wife of one of the editors and a celebrated muse whose salons he frequented. Toulouse-Lautrec took up lithography at a high point in its history, when technical advances in color printing and new possibilities for large scale led to a proliferation of posters as well as prints for the new bourgeois collector. In his short career, he created more than three hundred fifty prints and thirty posters, as well as lithographed theater programs and covers for books and sheet music, all of which brought his avant-garde visual language into a broad public arena. For technical expertise, he depended on master craftsmen to share their knowledge. One such printer, Père Cotelle of the Ancourt workshop, is seen at his printing press on the cover for the L'Estampe originale portfolio, while Toulouse-Lautrec's friend, the performer Jane Avril, inspects a fresh impression of a print. Whether advertising a product, like the new paper form of confetti, or entertainers in a well-known can-can troupe, Toulouse-Lautrec's posters were noteworthy for their highly simplified and abstracted designs. Inspired by Japanese woodblock prints, the artist incorporated diagonal perspectives, abrupt cropping, patterns of vivid, flat color, and sinuous lines to achieve an immediacy and directness that went far beyond the illustrative charm of other poster makers of the day.","Printing (0.950707), Henri de Toulouse-Lautrec (0.752563), Lithography (0.67171), Jane Avril (0.615792), Moulin Rouge (0.580992), Printmaking (0.535395), Ukiyo-e (0.534283), Art Nouveau (0.509853)"
"White pigment and pastel on blackboard-paint primed panel","Image: 125 1/8 x 208 7/8"" (317.8 x 530.5 cm)","Drawing","Gary Simmons","http://www.moma.org/collection/works/33390","AMERICAN","boom","Gift of the Friends of Contemporary Drawing and of The Friends of Education of The Museum of Modern Art","2/25/1999","Drawings","Y","30.1999","1996/2003","(American, born 1964)","Y","33390","Simmons expends as much energy erasing his drawings as he does constructing them. After meticulously drafting his pictures he attacks the sketch with his hands clad in thin golf gloves, which allow him to feel the surface and vary the amount of pressure needed to wipe out a drawing without completely destroying it. This wall drawing depicts a cloudburst that carries disquieting associations with war imagery while also re-creating the classic cartoon scenario in which two fighting figures clash and then disappear into an explosion. The blast ""is a comedic trope for violence,"" says Simmons. ""Cartoons are the first and earliest form of getting pleasure from a violent act.""","Drawing (0.919526), Painting (0.911445), War (0.907795), Technical drawing (0.880598), Violence (0.790018), Suffering (0.75247), BLAST (0.644805), Cartoon (0.643924)"
"Pencil on notebook paper","18 x 12"" (45.8 x 30.5 cm)","Drawing","Andy Warhol","http://www.moma.org/collection/works/33416","AMERICAN","Campbell's Soup Can (Tomato)","Purchased with funds provided by Marie-Josée and Henry R. Kravis","2/25/1999","Drawings","Y","33.1999","(c. 1962)","(American, 1928–1987)","Y","33416","To make this drawing, Warhol started by tracing the soup-can logo from a mailing envelope sent by the Campbell's Soup Company onto a sheet of paper. He likely enlarged that tracing in a projection, which he then traced again on this sheet. The thirty-two paintings that make up Campbells' Soup Cans  are also based on the same soup-can logo. Warhol may have used pencil drawings like this one to increase the size of the projected image in stages, which helped to preserve the graphic clarity of the logo when it reached the larger scale of the canvases.","Campbell's Soup Cans (0.965234), Campbell Soup Company (0.7832), Drawing (0.760898)"
"Paper, soot, spit, and string","11 1/8 x 6 1/2"" (28.3 x 41 cm)","Drawing","James Castle","http://www.moma.org/collection/works/33093","AMERICAN","Untitled (Coat Construction)","Gift of the Family of James Castle","2/25/1999","Drawings","Y","9.1999","(c. 1925)","(American, 1900–1977)","Y","33093","Deaf from birth, Castle never learned to speak, sign, read, or write. His art, intimate in scale and focus, was the means by which he conveyed his inner vision and inventiveness, and he created a visual language inspired by his Idaho home and daily life. Refusing formal art training, Castle devised his own methods. He drew in a mixture of soot and saliva with a sharpened stick on found surfaces and created thousands of drawings, constructions, and books throughout his adult life.","Linguistics (0.887796), Communication (0.837156), Biology (0.755765), Mixture (0.72744)"
"Embroidery on linen","8 3/4 x 67 1/2"" (22.2 x 171.4 cm)","Sculpture","Elaine Reichek","http://www.moma.org/collection/works/80782","AMERICAN","Sampler (Starting Over)","Marcia Riklis Fund","2/8/1999","Painting & Sculpture","Y","6.1999","1996","(American, born 1943)","Y","80782","Reichek draws on the tradition of embroidered samplers to create Conceptual, word-based art. Replacing traditional aphorisms, prayers, and educational texts with quotations from art history and mythology, Reichek painstakingly replicated images of three black abstract paintings and a statement by the artist Ad Reinhardt, her painting teacher. On the right are lines spoken by Penelope in The Odyssey, by Homer, and a design from a Greek vase depicting women making textiles. The artist has explained, ""Reinhardt described artmaking very much as Penelope described weaving her tapestry: as a constant process of making and remaking, beginning and beginning again.""","History of painting (0.970582), Odyssey (0.760283), Western painting (0.718309), Odysseus (0.705946), Trojan War (0.661338), Homer (0.638256), Wassily Kandinsky (0.624176), Abstract art (0.619571)"
"Language + the materials referred to","Dimensions variable","Sculpture","Lawrence Weiner","http://www.moma.org/collection/works/80748","AMERICAN","Rocks Upon the Beach Sand Upon the Rocks","Acquisition from the Werner Dannheisser Testamentary Trust","2/8/1999","Painting & Sculpture","Y","2.1999","1988","(American, born 1942)","Y","80748","Weiner's medium is language. As a Conceptual artist his constructions of words and phrases seek to affect our perception of the spaces they are presented in. In appearance the language used by the artist is plain and neutral. In effect, however, this particular piece is quite evocative—the artist invites us to imagine ourselves surrounded by sand and rocks as we enter a space inhabited by art.","Conceptual art (0.957672), Aesthetics (0.808127), Word (0.726716), Art (0.716029), Concept (0.686855), Cognition (0.62941), Logic (0.592925), Space (0.54558)"
"Gelatin silver print","11 5/16 x 7 1/8"" (28.7 x 18.1 cm)","Photograph","Aleksandr Rodchenko","http://www.moma.org/collection/works/56397","RUSSIAN","Columns of the Museum of the Revolution","Gift of the Rodchenko family","12/10/1998","Photography","Y","784.1998","1926","(Russian, 1891–1956)","Y","56397","A leading figure of the European avant-garde between the two world wars, in 1921 Rodchenko coauthored the ""Constructivist Manifesto,"" which advocated the use of new materials and photomechanical processes in the creation of collective social knowledge and networks of communication. He collaborated with writers Osip Brik, Nikolai Aseev, Vladimir Mayakovsky, and Sergei Tret'iakov on the covers and layouts for the Soviet avantgarde journals Lef and Novyi Lef. Rodchenko and his comrades popularized the idea of ""factography"" through these journals and other documentary projects designed to record the technical and cultural revolutions occurring in the Soviet Union in the 1920s. The Lef-associated filmmaker Dziga Vertov wrote, ""We must form a FI LM FACTORY OF FACTS"" and mobilized others in Filming Facts. Sorting facts. Disseminating facts. Agitating with facts. Propaganda with facts. Fists made of facts."" Rodchenko was committed to actively transforming reality through mass communication, and he believed that pictures emphasizing odd camera angles, radical foreshortening, and close-ups would energize a mass audience.","Vladimir Mayakovsky (0.970648), Russia (0.969762), Russian avant-garde (0.890869), Soviet Union (0.865111), Lilya Brik (0.79599), Osip Brik (0.794282), Sergei Eisenstein (0.758514), Documentary film (0.614195)"
"Plaster and steel","Overall 14' 9 1/8"" x 15' 9"" x 20' 8 3/4"" (450 x 480 x 632 cm)","Installation","Rachel Whiteread","http://www.moma.org/collection/works/81833","BRITISH","Untitled (Paperbacks)","Gift of Agnes Gund and Committee on Painting and Sculpture Funds","12/7/1998","Painting & Sculpture","Y","745.1998","1997","(British, born 1963)","Y","81833","Whiteread creates plaster casts from objects and spaces, evoking physical memories of them. Untitled (Paperbacks) is the negative cast of the interior of a library, turned inward; a room filled with the spectral marks of books whose contents and titles appear to be lost. The plaster surfaces are a visible manifestation of the room—the books' binding colors, their widths, and even the texture of their pages are still ""readable."" Whiteread's sculpture creates tension between the haunting and the poetic, the monumental and the fragile, and the ephemeral and the eternal.","1999 albums (0.943725), The Fragile (0.644805), British Columbia Interior (0.644637), Cast (0.643378), Book (0.615825), Casting (0.614398)"
"Portfolio of 416 lithographs, offset printed, eleven long play vinyl records, plus one duplicate lithograph","composition: 13 3/4 x 9 3/4"" (34.9 x 24.8 cm); sheet: 13 3/4 x 9 3/4"" (34.9 x 24.8 cm)","Print","Hanne Darboven","http://www.moma.org/collection/works/71833","GERMAN","Turning Point >80< (Wende >80<)","Gift of Angela Westwater and Hanne Darboven","11/12/1998","Prints & Illustrated Books","Y","611.1998.1-428","1980-81","(German, 1941–2009)","Y","71833","A pioneer of Conceptual art who also trained as a pianist, Darboven created a notational visual language based primarily on numbers and indecipherable script. Here, for the first time, musical notations dominate her project.  The scores are derived from a set of correspondences the artist established between numbers and notes; working with a composer, she orchestrated and recorded them. Visitors can hear her compositions alongside their visual equivalents.","Musical notation (0.943488), Music (0.60954), Art (0.536978), Conceptual art (0.493527), Aesthetics (0.437101), Musical composition (0.39836), Language (0.390728), Robin Beck (0.372251)"
"Woodcut","composition: 15 9/16 x 22"" (39.5 x 55.9 cm); sheet: 26 5/8 x 32 13/16"" (67.7 x 83.4 cm)","Print","Edvard Munch","http://www.moma.org/collection/works/72085","NORWEGIAN","Two People. The Lonely Ones (To mennesker. De ensomme)","Gift of Patricia P. Irgens Larsen","11/12/1998","Prints & Illustrated Books","Y","625.1998","1899/1917","(Norwegian, 1863–1944)","Y","72085","Born in Scandinavia, a region known for long periods of cold and darkness, Edvard Munch shared the Symbolist mentality of artists and writers from that locale and throughout Europe in the 1890s. He rejected the Impressionist practice of studying effects of light on the external world and instead looked inward to explore themes of love and jealousy, loneliness and anxiety, and sickness and death. His personal history, with the premature loss of his mother and an older sister, as well as complex and unsatisfactory entanglements with women, provided him with a constant source of artistic motifs. The practices of painting, drawing, and printmaking were intertwined for Munch as he reinvestigated the same themes throughout his career. Printmaking was particularly conducive to this practice since he could save his plates, stones, and woodblocks for reuse time and again. Working with professional printers, or availing himself of a press in his studio, he explored some seven hundred fifty subjects in prints, varying his imagery in nearly thirty thousand impressions. Such experimentation can be seen here in red and black examples of The Sick Child I, and in three versions of The Lonely Ones, interpreted in both woodcut and etching. Munch sometimes used the same motif in a painting and a print, and a comparison of the two shows the print to be greatly simplified, achieving a sense of essence. Complex emotions are distilled into universal symbols by removing narrative references. Woodcut, in particular, lent itself to this approach. Munch's practice of cutting his blocks like a jigsaw puzzle in order to ink them in sections also enhanced a sense of isolation and abstraction. And the way in which he allowed the patterns of the wood grain to affect his compositions gave an indication of primordial significance. With this approach, the viewer senses artistic process as well as motif, something that would become an underlying component in much twentieth-century art.","Edvard Munch (0.97924), Woodcut (0.941673), Symbolism (0.810278), Printmaking (0.768063), Expressionism (0.764523), The Sick Child (0.618682), Wood (0.60817), Abstraction (0.585731)"
